# HelioClim-3 Archive Database of Solar Irradiance v5 (derived from satellite data) and meteorological data (MERRA-2/NASA and GFS/NCEP)
# Provider;MINES ParisTech / Armines / Transvalor (France), National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center and National Centers for Environmental Prediction (NCEP)
# More information at;http://www.soda-pro.com, http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2 and https://www.emc.ncep.noaa.gov/emc/pages/numerical_forecast_systems/gfs/documentation.php
# gfs update info;date 2023-12-26 - cycle 0
# Site latitude (positive means North);24.508
# Site longitude (positive means East);51.132
# Elevation (m);11
# Date beginning;2023-12-26
# Date end;2023-12-26
# Meteo Data;no MERRA-2 data for this period / GFS data from 2023-12-26 to 2023-12-26
# Time reference (hour);UT
# Summarization (period of integration);15 minutes (min)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization
# Tilt angle (degrees);-999 (tracking)
# Azimuth angle (degrees);-999 (tracking)
# Albedo of the ground;0.20
# Take into account the shadows due to relief?;1 (yes, with horizon computed from SRTM)
# Calibration;None
# Minimum Sun Elevation;2
# 
# Columns:
# Irradiation (Wh/m2);Irradiation over the period (-999 if no data)
# Clear-Sky (Wh/m2);Irradiation over the period if the sky were clear
# Top of Atmosphere (Wh/m2);Irradiation over the period at the top of the atmosphere (extraterrestrial)
# Code;0: no data, 1: sun below horizon, 2: satellite assessment, 5: interpolation in time, 6: forecast
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth

# Irradiation values from HelioClim-3 and meteorological data (MERRA-2 and GFS)
# Date;Time;Direct Inclined;Diffuse Inclined;Reflected;Global Inclined;Direct Horiz;Diffuse Horiz;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth
2023-12-26;00:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.75;72.77;1018.17;2.27;16.92;0.000000;0.000000;0.000000
2023-12-26;00:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.68;72.63;1018.24;2.30;14.25;0.000000;0.000000;0.000000
2023-12-26;00:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.62;72.49;1018.30;2.33;11.64;0.000000;0.000000;0.000000
2023-12-26;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.56;72.34;1018.37;2.37;9.12;0.000000;0.000000;0.000000
2023-12-26;01:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.49;72.20;1018.44;2.41;6.68;0.000000;0.000000;0.000000
2023-12-26;01:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.43;72.06;1018.51;2.46;4.33;0.000000;0.000000;0.000000
2023-12-26;01:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.37;71.91;1018.58;2.51;2.07;0.000000;0.000000;0.000000
2023-12-26;02:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.31;71.77;1018.65;2.56;359.90;0.000000;0.000000;0.000000
2023-12-26;02:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.24;71.63;1018.72;2.62;357.83;0.000000;0.000000;0.000000
2023-12-26;02:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.18;71.48;1018.79;2.68;355.84;0.000000;0.000000;0.000000
2023-12-26;02:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.12;71.34;1018.86;2.74;353.95;0.000000;0.000000;0.000000
2023-12-26;03:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.06;71.20;1018.93;2.81;352.15;0.000000;0.000000;0.000000
2023-12-26;03:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;293.31;69.38;1019.07;2.85;351.86;0.000000;0.000000;0.000000
2023-12-26;03:30;0.1213;0.0324;0.0063;0.1600;0.0032;0.0629;0.0661;0.6697;3.2873;5;293.55;67.55;1019.20;2.89;351.58;0.000000;0.000000;0.000000
2023-12-26;03:45;1.1192;0.6394;0.1141;1.8727;0.0678;1.1387;1.2065;5.4985;20.4726;2;293.80;65.73;1019.34;2.92;351.30;0.000000;0.000000;0.000000
2023-12-26;04:00;1.9601;2.1785;0.3466;4.4852;0.2184;3.6395;3.8579;13.0246;38.9194;2;294.05;63.91;1019.48;2.96;351.04;0.000000;0.000000;0.000000
2023-12-26;04:15;2.3673;3.8227;0.5585;6.7485;0.3833;6.2109;6.5942;22.5383;56.9521;2;294.30;62.09;1019.62;3.00;350.78;0.000000;0.000000;0.000000
2023-12-26;04:30;3.1510;6.4936;0.8571;10.5018;0.6697;10.1162;10.7859;33.4539;74.4935;2;294.55;60.27;1019.76;3.04;350.52;0.000000;0.000000;0.000000
2023-12-26;04:45;4.4211;10.2923;1.2273;15.9407;1.1527;15.3226;16.4754;45.2218;91.4683;2;294.80;58.45;1019.90;3.08;350.27;0.000000;0.000000;0.000000
2023-12-26;05:00;6.6774;15.3636;1.6758;23.7169;2.0483;21.8108;23.8590;57.3980;107.8041;2;295.05;56.63;1020.04;3.12;350.03;0.000000;0.000000;0.000000
2023-12-26;05:15;10.4562;21.4879;2.1498;34.0940;3.6712;28.8723;32.5435;69.6434;123.4308;2;295.30;54.80;1020.18;3.15;349.80;0.000000;0.000000;0.000000
2023-12-26;05:30;18.1185;29.1444;2.6894;49.9522;7.1516;36.2736;43.4251;81.7027;138.2814;2;295.55;52.98;1020.32;3.19;349.57;0.000000;0.000000;0.000000
2023-12-26;05:45;48.3816;42.2371;3.7243;94.3430;20.9711;43.3479;64.3190;93.3816;152.2925;6;295.80;51.16;1020.45;3.23;349.34;0.000000;0.000000;0.000000
2023-12-26;06:00;59.9812;48.0128;4.0601;112.0541;28.1120;47.0173;75.1293;104.5290;165.4039;6;296.05;49.34;1020.59;3.27;349.12;0.000000;0.000000;0.000000
2023-12-26;06:15;64.9663;51.9142;4.1745;121.0549;32.6873;50.3325;83.0197;115.0118;177.5596;6;296.32;48.40;1020.42;3.36;348.88;0.000000;0.000000;0.000000
2023-12-26;06:30;68.3915;55.2102;4.2484;127.8500;36.5543;53.4141;89.9685;124.7282;188.7076;6;296.59;47.46;1020.25;3.44;348.64;0.000000;0.000000;0.000000
2023-12-26;06:45;67.4420;57.8686;4.1997;129.5103;37.9720;56.6681;94.6402;133.6092;198.7999;6;296.86;46.52;1020.08;3.53;348.42;0.000000;0.000000;0.000000
2023-12-26;07:00;67.7149;60.2842;4.1864;132.1855;39.8598;59.4349;99.2947;141.5873;207.7936;6;297.13;45.58;1019.90;3.61;348.21;0.000000;0.000000;0.000000
2023-12-26;07:15;71.5371;62.6233;4.2067;138.3670;43.7005;61.3499;105.0503;148.6059;215.6499;6;297.41;44.64;1019.73;3.70;348.01;0.000000;0.000000;0.000000
2023-12-26;07:30;74.7073;64.5846;4.1789;143.4708;47.0488;62.9323;109.9811;154.6181;222.3354;6;297.68;43.70;1019.56;3.79;347.82;0.000000;0.000000;0.000000
2023-12-26;07:45;75.8074;66.1705;4.1021;146.0801;48.9157;64.4455;113.3612;159.5855;227.8213;6;297.95;42.76;1019.39;3.87;347.63;0.000000;0.000000;0.000000
2023-12-26;08:00;74.1888;67.2364;4.0676;145.4928;48.7656;66.0329;114.7985;163.4773;232.0842;6;298.22;41.83;1019.22;3.96;347.46;0.000000;0.000000;0.000000
2023-12-26;08:15;73.5401;68.0213;4.0399;145.6013;48.9695;67.0773;116.0468;166.2700;235.1059;6;298.49;40.89;1019.05;4.04;347.29;0.000000;0.000000;0.000000
2023-12-26;08:30;73.9492;68.5464;4.0077;146.5032;49.6125;67.5571;117.1696;167.9470;236.8733;6;298.76;39.95;1018.87;4.13;347.13;0.000000;0.000000;0.000000
2023-12-26;08:45;74.0080;68.7556;3.9714;146.7349;49.7580;67.7039;117.4619;168.4984;237.3789;6;299.04;39.01;1018.70;4.22;346.97;0.000000;0.000000;0.000000
2023-12-26;09:00;74.1511;68.4385;4.0306;146.6202;49.6951;67.4445;117.1395;167.9209;236.6206;6;299.31;38.07;1018.53;4.30;346.83;0.000000;0.000000;0.000000
2023-12-26;09:15;73.9838;67.8323;4.0756;145.8917;49.1594;66.8470;116.0064;166.1132;234.6015;6;299.36;38.33;1018.45;4.45;345.56;0.000000;0.000000;0.000000
2023-12-26;09:30;75.0473;66.9707;4.1178;146.1359;49.1694;65.6562;114.8256;163.0808;231.3305;6;299.41;38.60;1018.37;4.59;344.37;0.000000;0.000000;0.000000
2023-12-26;09:45;76.2536;65.8087;4.1618;146.2241;48.9880;64.0623;113.0503;158.9501;226.8213;6;299.45;38.87;1018.28;4.74;343.25;0.000000;0.000000;0.000000
2023-12-26;10:00;74.5030;64.1247;4.2400;142.8678;46.6586;62.5813;109.2399;153.7453;221.0934;6;299.50;39.13;1018.20;4.89;342.20;0.000000;0.000000;0.000000
2023-12-26;10:15;71.1584;62.0789;4.2647;137.5019;43.1718;60.9459;104.1176;147.4980;214.1713;6;299.55;39.40;1018.12;5.04;341.22;0.000000;0.000000;0.000000
