"logger_id","station_name","tstamp","pyrgeometer_body_temperature_avg","pyrgeometer_body_temperature_max","pyrgeometer_body_temperature_min","pyrgeometer_body_temperature_stdev","pyrgeometer_body_temperature_count","dhi_solar_irradiance_avg","dhi_solar_irradiance_max","dhi_solar_irradiance_min","dhi_solar_irradiance_stdev","dhi_solar_irradiance_count","ghi_solar_irradiance_avg","ghi_solar_irradiance_max","ghi_solar_irradiance_min","ghi_solar_irradiance_stdev","ghi_solar_irradiance_count","eppley_tuvr_voltage_avg","eppley_tuvr_voltage_max","eppley_tuvr_voltage_min","eppley_tuvr_voltage_stdev","eppley_tuvr_voltage_count","dni_voltage_avg","dni_voltage_max","dni_voltage_min","dni_voltage_stdev","dni_voltage_count","pyrgeometer_voltage_avg","pyrgeometer_voltage_max","pyrgeometer_voltage_min","pyrgeometer_voltage_stdev","pyrgeometer_voltage_count","pyrgeometer_ein_solar_ir_avg","pyrgeometer_ein_solar_ir_max","pyrgeometer_ein_solar_ir_min","pyrgeometer_ein_solar_ir_stdev","pyrgeometer_ein_solar_ir_count","pyrgeometer_enet_solar_ir_avg","pyrgeometer_enet_solar_ir_max","pyrgeometer_enet_solar_ir_min","pyrgeometer_enet_solar_ir_stdev","pyrgeometer_enet_solar_ir_count","a1_avg","a1_max","a1_min","a1_stdev","a1_count","a2_avg","a2_max","a2_min","a2_stdev","a2_count","a3_avg","a3_max","a3_min","a3_stdev","a3_count","a4_avg","a4_max","a4_min","a4_stdev","a4_count","a5_avg","a5_max","a5_min","a5_stdev","a5_count","a6_avg","a6_max","a6_min","a6_stdev","a6_count","voltage_avg","voltage_max","voltage_min","current_avg","current_max","current_min","temp_avg","addr"
"D204045","Al Wakrah","2023-02-23 07:37:00+03",NULL,NULL,NULL,NULL,NULL,130.6151,131.3272,130.1065,0.3539,60,287.2717,289.7183,285.1405,1.4165,60,NULL,NULL,NULL,NULL,NULL,448.8074,451.7365,446.2157,1.7317,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5306,0.5313,0.5301,0.0004,60,0.6873,0.6897,0.6851,0.0014,60,0.8446,0.8475,0.842,0.0017,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,27.07,26.67,30.9667,35,29,26,3845268
"D204045","Al Wakrah","2023-02-23 07:36:00+03",NULL,NULL,NULL,NULL,NULL,129.5521,130.1065,128.5806,0.3575,60,283.3908,285.1405,281.4783,1.0821,60,NULL,NULL,NULL,NULL,NULL,444.4163,446.5224,441.9218,1.3116,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5296,0.5301,0.5286,0.0004,60,0.6834,0.6851,0.6815,0.0011,60,0.8402,0.8423,0.8377,0.0013,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.99,27.02,26.97,30.6667,33,29,25.5,3845264
"D204045","Al Wakrah","2023-02-23 07:35:00+03",NULL,NULL,NULL,NULL,NULL,128.4382,129.191,127.9702,0.353,60,279.4641,281.4783,277.8161,1.0664,60,NULL,NULL,NULL,NULL,NULL,439.9844,441.9218,438.5479,0.9591,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5284,0.5292,0.528,0.0004,60,0.6795,0.6815,0.6778,0.0011,60,0.8358,0.8377,0.8344,0.001,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.94,27.02,26.92,30.9333,33,29,25,3845260
"D204045","Al Wakrah","2023-02-23 07:34:00+03",NULL,NULL,NULL,NULL,NULL,127.2785,127.9702,126.7495,0.3019,60,275.8578,277.8161,274.1539,1.0606,60,NULL,NULL,NULL,NULL,NULL,437.1268,438.8546,435.4808,0.8748,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5273,0.528,0.5267,0.0003,60,0.6759,0.6778,0.6742,0.0011,60,0.833,0.8347,0.8313,0.0009,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.91,26.97,26.87,30.9,35,29,25,3845256
"D204045","Al Wakrah","2023-02-23 07:33:00+03",NULL,NULL,NULL,NULL,NULL,126.3527,126.7495,125.8339,0.3385,60,272.277,274.1539,270.4916,1.1904,60,NULL,NULL,NULL,NULL,NULL,433.6866,436.4009,431.1869,1.3911,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5264,0.5267,0.5258,0.0003,60,0.6723,0.6742,0.6705,0.0012,60,0.8295,0.8322,0.8271,0.0014,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.87,26.92,26.82,30.9333,35,29,25,3845253
"D204045","Al Wakrah","2023-02-23 07:32:00+03",NULL,NULL,NULL,NULL,NULL,125.4219,126.1391,124.9184,0.317,60,268.8437,270.4916,267.4398,0.8994,60,NULL,NULL,NULL,NULL,NULL,431.0642,432.4137,429.3466,0.9074,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5254,0.5261,0.5249,0.0003,60,0.6688,0.6705,0.6674,0.0009,60,0.8269,0.8283,0.8252,0.0009,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.85,26.87,26.82,31,33,29,25,3845249
"D204045","Al Wakrah","2023-02-23 07:31:00+03",NULL,NULL,NULL,NULL,NULL,124.4758,124.9184,123.6976,0.3297,60,265.4815,267.4398,263.7776,1.0929,60,NULL,NULL,NULL,NULL,NULL,427.9766,429.6533,426.2795,0.9304,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5245,0.5249,0.5237,0.0003,60,0.6655,0.6674,0.6638,0.0011,60,0.8239,0.8255,0.8222,0.0009,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.82,26.87,26.77,31.0333,35,29,25,3845245
"D204045","Al Wakrah","2023-02-23 07:30:00+03",NULL,NULL,NULL,NULL,NULL,123.4586,124.0028,122.7821,0.3232,60,261.9109,263.7776,259.8102,1.0316,60,NULL,NULL,NULL,NULL,NULL,424.8431,426.2795,422.2922,1.1087,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5235,0.524,0.5228,0.0003,60,0.6619,0.6638,0.6598,0.001,60,0.8207,0.8222,0.8182,0.0011,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.79,26.82,26.77,31.1,35,31,25,3845241
"D204045","Al Wakrah","2023-02-23 07:29:00+03",NULL,NULL,NULL,NULL,NULL,122.2734,123.0872,121.5613,0.4192,60,257.9689,259.8102,256.4531,0.9909,60,NULL,NULL,NULL,NULL,NULL,420.6002,422.2922,419.5318,0.6121,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5223,0.5231,0.5216,0.0004,60,0.658,0.6598,0.6565,0.001,60,0.8165,0.8182,0.8155,0.0006,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.77,26.82,26.72,30.9,35,29,25,3845237
"D204045","Al Wakrah","2023-02-23 07:28:00+03",NULL,NULL,NULL,NULL,NULL,121.1798,121.5613,120.6458,0.2899,60,254.5508,256.4531,252.4857,1.1818,60,NULL,NULL,NULL,NULL,NULL,417.3184,419.5318,414.9312,1.3577,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5212,0.5216,0.5206,0.0003,60,0.6546,0.6565,0.6525,0.0012,60,0.8133,0.8155,0.8109,0.0014,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.74,26.77,26.72,30.9667,33,29,25,3845233
"D204045","Al Wakrah","2023-02-23 07:27:00+03",NULL,NULL,NULL,NULL,NULL,120.0557,120.6458,119.425,0.3679,60,250.3494,252.4857,248.5183,1.0361,60,NULL,NULL,NULL,NULL,NULL,411.8896,414.9312,410.3305,1.127,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5201,0.5206,0.5194,0.0004,60,0.6503,0.6525,0.6485,0.001,60,0.8079,0.8109,0.8063,0.0011,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.7,26.77,26.52,31.1667,35,31,24.1,3845229
"D204045","Al Wakrah","2023-02-23 07:26:00+03",NULL,NULL,NULL,NULL,NULL,118.8401,119.7302,118.2043,0.4063,60,246.5601,248.8235,244.5509,1.1506,60,NULL,NULL,NULL,NULL,NULL,407.7797,410.3305,405.1164,1.3711,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5188,0.5197,0.5182,0.0004,60,0.6466,0.6488,0.6446,0.0012,60,0.8038,0.8063,0.8011,0.0014,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.7,26.72,26.67,31.0333,35,29,24,3845225
"D204045","Al Wakrah","2023-02-23 07:25:00+03",NULL,NULL,NULL,NULL,NULL,117.8737,118.5095,117.2887,0.3431,60,243.1369,244.5509,241.4991,1.0436,60,NULL,NULL,NULL,NULL,NULL,404.6717,406.3433,402.6627,1.1029,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5179,0.5185,0.5173,0.0003,60,0.6431,0.6446,0.6415,0.001,60,0.8007,0.8023,0.7987,0.0011,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.68,26.72,26.67,31,35,29,24,3845221
"D204045","Al Wakrah","2023-02-23 07:24:00+03",NULL,NULL,NULL,NULL,NULL,116.8513,117.2887,116.3732,0.3045,60,239.612,241.4991,237.5317,1.1522,60,NULL,NULL,NULL,NULL,NULL,400.8531,403.2762,396.8352,2.0154,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5169,0.5173,0.5164,0.0003,60,0.6396,0.6415,0.6375,0.0012,60,0.7969,0.7993,0.7929,0.002,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.65,26.67,26.62,31.0333,35,29,24,3845217
